,企业信誉级别,企业代号,month,价税总额,大单交易额,大单交易额增长率,退款总额,退款总额增长率,退款大单交易额（不用）,数量
0,,E1,1,324215052.1,319306064.2,0.502925177,-27524876.83,0.00151136,-27266561.38,155
1,,E1,2,163617903,160587059,3.987873472,-41600,317.7842546,0,93
2,,E1,3,644006626.8,640400872.6,0.410964189,-13219824.99,0.811558484,-13147427.15,146
3,,E1,4,265918233.8,263181825.4,1.385212519,-10728661.13,0.68745423,-10647262.53,127
4,,E1,5,367947537,364562759.2,1.039750684,-7375463.48,1.491949756,-7325463.48,139
5,,E1,6,381823298.8,379054378.3,0.822044508,-11003820.94,0.471568198,-11003820.94,152
6,,E1,7,315474351.6,311599570,1.13553607,-5189052.01,0.607035253,-5074720.01,168
7,,E1,8,358459044.6,353832551,1.871060514,-3149937.5,6.354181345,-2732223.5,165
8,,E1,9,667043651.9,662042114.9,0.54906182,-20015274.1,1.626247251,-19797293.1,164
9,,E1,10,370309951.6,363502048.2,1.586618561,-32549784.49,0.563904535,-32488168.49,174
10,,E1,11,583539003.8,576739096.6,0.60600227,-18354971.09,0.06100659,-18334477.09,178
11,,E1,12,356457289.7,349505201.8,0.555150871,-1119774.2,0,-1004728.7,206
12,,E10,1,194927405.6,194028117.3,0.101506646,0,,0,17
13,,E10,2,19695143.32,19695143.32,0.134460207,0,,0,8
14,,E10,3,2648213.05,2648213.05,0.735517484,-600000,,-600000,4
15,,E10,4,2067807,1947807,3.949035372,0,,0,3
16,,E10,5,7691958.74,7691958.74,1.954940384,0,,0,7
17,,E10,6,15037320.77,15037320.77,0.995679456,0,,0,11
18,,E10,7,15054688.52,14972351.36,2.346377378,0,,0,9
19,,E10,8,35339024.14,35130786.52,0.447268405,-472379.04,,-472379.04,12
20,,E10,9,15822471.85,15712890.85,0.864640259,0,,0,10
21,,E10,10,13645998.01,13585998.01,3.074996839,0,,0,9
22,,E10,11,41971900.94,41776900.94,0.40000327,0,,0,13
23,,E10,12,16796618.98,16710896.98,0,0,,0,9
24,,E100,1,72511,0,0,0,,0,5
25,,E100,2,13249.51,0,0,0,,0,3
26,,E100,3,48041,0,0,-4978.51,,0,4
27,,E100,4,66602.85,0,0,0,,0,4
28,,E100,5,29950.18,0,0,-34413,,0,4
29,,E100,6,64223.54,0,0,0,,0,4
30,,E100,7,74470.02,0,0,0,,0,2
31,,E100,8,255760.3,0,0,-48687.59,,0,4
32,,E100,9,4100,0,0,-15855,,0,2
33,,E100,10,18178.38,0,0,0,,0,4
34,,E100,11,7617.4,0,0,0,,0,2
35,,E100,12,56785.03,0,0,-24498,,0,4
36,,E101,4,82376,0,0,0,,0,1
37,,E101,6,522480.69,0,0,0,,0,2
38,,E101,11,121108.72,0,0,0,,0,1
39,,E102,1,47762.02,0,0,-31448.6,,0,12
40,,E102,2,14180.7,0,0,0,,0,14
41,,E102,3,33108.68,0,0,0,,0,7
42,,E102,4,7167.8,0,0,0,,0,3
43,,E102,5,88200.2,0,0,0,,0,16
44,,E102,6,19936.8,0,0,0,,0,3
45,,E102,7,69292.76,0,0,0,,0,8
46,,E102,8,39175.45,0,0,0,,0,7
47,,E102,9,28955.3,0,0,0,,0,10
48,,E102,10,4261.06,0,0,0,,0,10
49,,E102,11,69881.24,0,0,0,,0,26
50,,E102,12,43089,0,0,0,,0,2
51,,E103,1,23140.3,0,0,-7130,,0,3
52,,E103,2,226300,0,0,0,,0,2
53,,E103,3,247245.15,0,0,-7245.15,,0,2
54,,E103,5,112543.99,0,0,0,,0,2
55,,E103,6,20000,0,0,0,,0,1
56,,E103,7,125117.35,0,0,0,,0,2
57,,E103,8,19957.7,0,0,0,,0,3
58,,E103,9,7967,0,0,0,,0,1
59,,E103,10,43974.47,0,0,0,,0,3
60,,E103,11,124238.61,0,0,0,,0,3
61,,E103,12,1134785.17,0,0,0,,0,10
62,,E104,1,22230,0,0,0,,0,3
63,,E104,3,56000,0,0,0,,0,1
64,,E104,4,3000,0,0,0,,0,1
65,,E104,5,7000,0,0,0,,0,1
66,,E104,6,60200,0,0,0,,0,1
67,,E104,8,0,0,0,-60200,,0,1
68,,E104,9,29500,0,0,0,,0,1
69,,E104,11,80000,0,0,0,,0,2
70,,E104,12,32600,0,0,0,,0,2
71,,E105,1,162455.94,0,0,0,,0,20
72,,E105,2,72840,0,0,0,,0,9
73,,E105,3,61182,0,0,0,,0,6
74,,E105,4,30899.4,0,0,0,,0,3
75,,E105,5,58354,0,0,0,,0,8
76,,E105,6,40000,0,0,-10022,,0,8
77,,E105,7,29437.4,0,0,0,,0,4
78,,E105,8,20579.8,0,0,0,,0,2
